0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:25 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:32 -0300] "GET /MVTur_ViagemMVC/views/clientes/null HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:37 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:37 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:38 -0300] "GET /MVTur_ViagemMVC/null HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:41 -0300] "GET /MVTur_ViagemMVC/null HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:58 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3275
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:41:58 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:42:39 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:42:39 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:29 -0300] "GET /MVTur_ViagemMVC/views/destinos/index.jsp HTTP/1.1" 200 8147
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:29 -0300] "GET /MVTur_ViagemMVC/views/destinos/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:29 -0300] "GET /MVTur_ViagemMVC/views/destinos/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:30 -0300] "GET /MVTur_ViagemMVC/views/destinos/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:30 -0300] "GET /MVTur_ViagemMVC/views/destinos/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:30 -0300] "GET /MVTur_ViagemMVC/views/destinos/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:30 -0300] "GET /MVTur_ViagemMVC/views/destinos/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:52 -0300] "GET /MVTur_ViagemMVC/views/destinos/passagem HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:47:57 -0300] "GET /MVTur_ViagemMVC/views/destinos/destino HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:06 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:10 -0300] "GET /MVTur_ViagemMVC/cliente HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:48:10 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/index.jsp HTTP/1.1" 200 3278
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/style.css HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:51:56 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:57 -0300] "GET /MVTur_ViagemMVC/views/clientes/create.jsp HTTP/1.1" 200 3816
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:58 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:58 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:58 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:58 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:53:58 -0300] "GET /MVTur_ViagemMVC/assets/css/style.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:55:33 -0300] "GET /MVTur_ViagemMVC/views/clientes/create.jsp HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:55:33 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:55:33 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:55:33 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/facebook.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:55:33 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/whatsapp.png HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:56:02 -0300] "GET /MVTur_ViagemMVC/views/clientes/create.jsp HTTP/1.1" 200 3824
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:56:02 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/logo.png HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [06/Nov/2023:13:56:02 -0300] "GET /MVTur_ViagemMVC/views/clientes/assets/img/instagram.png HTTP/1.1" 404 838
