0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/2Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/instagram.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/facebook.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:18:01 -0300] "GET /MVTur_ViagemMVC/assets/whatsapp.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/style.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/rj1.png HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/passagens%20turquia.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/5.png HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/3Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/1Feedback_MVTur_Viagens.jpg HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [31/Oct/2023:16:19:29 -0300] "GET /MVTur_ViagemMVC/assets/logo.png HTTP/1.1" 404 802
